hour,temp,dwpt,rhum,prcp,wdir,wspd,wpgt,pres,coco,future_temp
17,32.8,25.1,64,0.0,210,18.4,,1013.2,1.0,32.2
18,32.2,25.0,66,0.0,200,11.2,,1012.8,3.0,31.1
19,31.1,24.5,68,0.0,200,9.4,,1013.0,3.0,28.9
20,28.9,24.5,77,0.0,190,11.2,,1012.9,3.0,26.1
21,26.1,24.0,88,0.0,180,9.4,,1013.3,1.0,27.2
22,27.2,23.9,82,0.0,190,11.2,,1013.5,1.0,23.9
23,23.9,23.2,96,0.0,180,5.4,,1014.1,1.0,23.9
0,23.9,23.2,96,0.0,0,0.0,,1014.0,1.0,23.3
1,23.3,23.3,100,0.0,120,5.4,,1013.8,1.0,22.8
2,22.8,22.8,100,0.0,0,0.0,,1013.3,1.0,22.8
3,22.8,22.1,96,0.0,140,7.6,,1013.6,1.0,22.8
4,22.8,22.8,100,0.0,0,0.0,,1014.2,5.0,22.2
5,22.2,22.2,100,0.0,130,7.6,,1014.0,5.0,21.7
6,21.7,21.7,100,0.0,140,5.4,,1014.2,5.0,22.2
7,22.2,22.2,100,0.0,150,5.4,,1014.8,3.0,24.4
8,24.4,23.4,94,0.0,140,14.8,,1015.3,3.0,26.7
9,26.7,24.0,85,0.0,130,13.0,,1015.3,3.0,27.8
10,27.8,24.4,82,0.0,120,9.4,,1015.3,3.0,30.6
11,30.6,24.0,68,0.0,190,13.0,,1014.9,3.0,31.1
12,31.1,24.0,66,0.0,182,11.2,,1014.7,3.0,31.7
13,31.7,23.8,63,0.0,190,5.4,,1014.4,3.0,33.3
14,33.3,23.9,58,0.0,190,11.2,,1013.6,3.0,33.9
15,33.9,24.5,58,0.0,200,14.8,,1013.0,3.0,33.9
16,33.9,23.3,54,0.0,190,14.8,,1012.7,2.0,33.3
17,33.3,23.3,56,0.0,190,16.6,,1012.3,3.0,32.8
18,32.8,24.0,60,0.0,190,13.0,,1012.4,3.0,31.1
19,31.1,24.5,68,0.0,190,11.2,,1012.1,3.0,28.9
20,28.9,23.8,74,0.0,180,11.2,,1012.0,3.0,26.7
21,26.7,23.4,82,0.0,160,7.6,,1012.7,2.0,25.6
22,25.6,23.3,87,0.0,160,9.4,,1013.1,2.0,25.6
23,25.6,23.3,87,0.0,150,9.4,,1013.5,2.0,24.4
0,24.4,23.4,94,0.0,140,11.2,,1013.8,2.0,24.4
1,24.4,23.4,94,0.0,140,7.6,,1013.3,2.0,24.4
2,24.4,23.4,94,0.0,140,9.4,,1012.8,2.0,25.0
3,25.0,23.2,90,0.0,190,14.8,,1012.3,3.0,24.4
4,24.4,23.4,94,0.0,150,11.2,,1011.9,17.0,25.6
5,25.6,22.7,84,0.0,180,16.6,,1012.1,1.0,24.4
6,24.4,22.8,91,0.0,160,9.4,35.0,1012.2,18.0,24.4
7,24.4,21.1,82,0.8,310,44.6,36.0,1014.1,25.0,21.7
8,21.7,20.0,90,5.1,0,0.0,,1015.0,7.0,21.1
9,21.1,20.6,97,0.3,70,11.2,,1014.5,3.0,22.2
10,22.2,21.2,94,,110,13.0,,1014.4,3.0,23.3
11,23.3,21.7,91,0.0,120,5.4,,1014.3,3.0,26.1
12,26.1,22.2,79,0.0,150,5.4,,1014.3,3.0,27.2
13,27.2,22.8,77,0.0,150,11.2,,1014.3,3.0,27.2
14,27.2,23.2,79,0.0,180,14.8,,1014.1,7.0,28.9
15,28.9,23.8,74,0.0,190,11.2,,1013.5,3.0,29.4
16,29.4,23.8,72,0.0,260,16.6,,1013.4,3.0,28.9
17,28.9,23.8,74,0.0,260,16.6,,1013.0,3.0,29.4
18,29.4,22.9,68,0.0,300,18.4,,1012.7,17.0,28.3
19,28.3,23.2,74,0.0,320,13.0,,1012.9,3.0,27.8
20,27.8,22.7,74,0.0,360,11.2,,1013.7,2.0,25.6
21,25.6,22.3,82,0.0,30,7.6,,1014.4,2.0,25.0
22,25.0,21.7,82,0.0,10,7.6,,1014.8,2.0,23.3
23,23.3,21.7,91,0.0,300,5.4,,1015.6,1.0,21.7
0,21.7,21.0,96,0.0,0,0.0,,1016.2,2.0,21.1
1,21.1,21.1,100,0.0,300,5.4,,1016.1,3.0,21.1
2,21.1,20.6,97,0.0,0,0.0,,1016.1,1.0,21.7
3,21.7,21.0,96,0.0,0,0.0,,1015.9,1.0,20.0
4,20.0,20.0,100,0.0,310,5.4,,1015.8,1.0,21.1
5,21.1,21.1,100,0.0,0,0.0,,1016.0,1.0,20.6
6,20.6,20.6,100,0.0,320,5.4,,1016.3,5.0,20.6
7,20.6,20.6,100,0.0,0,0.0,,1017.0,5.0,22.2
8,22.2,21.7,97,0.0,340,5.4,,1017.6,1.0,23.9
9,23.9,21.8,88,0.0,0,0.0,,1017.9,1.0,26.1
10,26.1,22.8,82,0.0,360,7.6,,1018.1,2.0,27.2
11,27.2,22.8,77,0.0,360,14.8,,1018.3,2.0,28.3
12,28.3,22.8,72,0.0,350,11.2,,1018.5,3.0,28.3
13,28.3,22.3,70,0.0,40,5.4,,1018.5,3.0,29.4
14,29.4,22.1,65,0.0,18,6.0,,1017.9,1.0,29.4
15,29.4,21.1,61,0.0,50,5.4,,1017.3,2.0,30.0
16,30.0,21.6,61,0.0,50,11.2,,1017.1,2.0,29.4
17,29.4,21.6,63,0.0,50,13.0,,1017.0,2.0,28.3
18,28.3,21.8,68,0.0,360,9.4,,1016.5,2.0,28.9
19,28.9,22.1,67,0.0,350,11.2,,1016.3,2.0,27.2
20,27.2,21.7,72,0.0,30,7.6,,1016.9,2.0,25.0
21,25.0,22.1,84,0.0,310,5.4,,1017.6,2.0,22.8
22,22.8,21.8,94,0.0,0,0.0,,1018.4,1.0,22.2
